"Company Name","Company Site","Company Industries","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
"Dublin and Dun Laoghaire Education
and Training Board",https://www.ddletb.ie/home-page-new/,Education,https://www.ddletb.ie/wp-content/uploads/2023/01/DDL-ETB-Gender-pay-gap-statement-2022-English-Version.pdf,2022,8.39,2.7,,,25.69,31.26,,,,,,,48.67,51.33,49.16,50.84,51.31,48.69,51.44,48.56,70.02,29.98
"Dublin Bus",https://www.dublinbus.ie/home,"Public Service,Transport,Transport",https://www.dublinbus.ie/getmedia/8646036b-8f49-4894-b3f3-d84e03fb0f7f/Gender-Pay-Gap-Report-2022.pdf,2022,-2.4,3.5,60.3,100,-14.1,0.4,7.2,3.2,40,76,,,,,,,,,,,8,92
"Dublin Business School",https://www.dbs.ie/,Education,https://www.dbs.ie/docs/default-source/default-document-library/dbs_gender-pay-gap.pdf?sfvrsn=79f4a4ea_0,2022,5.3,25.1,-51,-8.6,-2.8,-8.6,12.8,4.9,1.6,2.7,1.6,2.2,60,40,43,57,47,53,50,50,,
"Dublin City Council",https://www.dublincity.ie/residential,"Public Service,Council",https://www.dublincity.ie/sites/default/files/2022-12/DCC%20Gender%20pay%20report%2022.pdf,2022,4.83,5.65,,,2.7,-0.76,-3.24,1.75,,,,,29.96,70.04,36.85,63.15,31.96,68.04,20.15,79.85,29.84,70.16
"Dublin City University",https://www.dcu.ie/,Education,https://www.dcu.ie/gender-pay-gap-report-2022,2022,10.45,12.24,,,17.99,-12.76,9.09,-2.74,,,,,55.63,44.37,65.65,34.35,47.37,52.63,50.33,49.67,55.49,44.51
"Dún Laoghaire-Rathdown County Council",http://www.dlrcoco.ie/,"Public Service,Council",https://www.dlrcoco.ie/sites/default/files/2023-02/gender_pay_gap_report_v9_16122022_003.pdf,2022,-3.04,-7.99,,,0,0,0,0,,,,,50.35,49.65,30.5,69.5,47.35,52.65,47.69,52.31,44,56
"Dundalk Institute of Technology",https://www.dkit.ie/,Education,https://www.dkit.ie/about-dkit/institute-reports-and-publications/equality-diversity-and-inclusion-report-and-publications/edi-reports-and-publications/gender-pay-gap-report-2022.pdf,2022,15,10.7,,,3.3,0.8,11.3,31,,,,,64,36,53,47,42,58,47,53,,
"Dunnes Stores",https://www.dunnesstores.com/,Retail,https://dunnes.btxmedia.com/pws/client/pdf/dunnes-stores-gender-pay-gap-report-2022.pdf,2022,5.1,-1.2,-44.4,3.5,-4.8,-2.9,42.9,35.7,82,79,100,100,63,37,60,40,63,37,62,38,,
"EA Ireland Ltd",https://www.ea.com/,"Technology,Software",https://media.contentapi.ea.com/content/dam/pdf/ea-ireland-ltd-gender-pay-report-2022.pdf,2022,-16.84,-8.9,-2.3,-39.03,-77.37,-3.93,7.57,19.56,96.67,97.64,95.83,96.85,28.72,71.28,31.18,68.82,34.41,65.59,34.04,65.95,,
"Eason & Son",https://www.easons.com/,Retail,https://easoncorporate.com/pdf/Eason_Gender_Pay_Pay_Dec_2022.pdf,2022,8.9,-8.9,68.1,49.6,-9.5,-4.2,,,8.4,9,27.9,35.7,51,49,61,39,70,30,62,38,61,39
